ID,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Desired_closeness_to_CA,Threat_CA,Sum_of_risk_factors,Average_anxiety
88,0.00,0.00,1.00,0.00,0.00,0,1.00,6.00
89,1.00,1.00,1.00,0.00,0.00,1,4.00,2.00
90,1.00,0.00,0.00,1.00,0.00,0,2.00,5.50
91,0.00,1.00,1.00,0.00,0.00,1,3.00,4.00
92,0.00,0.00,1.00,0.00,0.00,0,1.00,5.00
93,0.00,1.00,1.00,1.00,0.00,0,3.00,4.50
94,1.00,0.00,0.00,0.00,0.00,0,1.00,6.00
95,1.00,0.00,0.00,1.00,0.00,1,3.00,5.00
96,0.00,1.00,0.00,0.00,0.00,1,2.00,1.00
97,0.00,1.00,0.00,0.00,0.00,0,1.00,3.50
98,1.00,0.00,1.00,0.00,0.00,1,3.00,1.00
99,1.00,1.00,0.00,0.00,0.00,1,3.00,3.00
100,1.00,1.00,1.00,1.00,0.00,1,5.00,2.00
101,0.00,0.00,1.00,1.00,0.00,0,2.00,6.00
102,0.00,0.00,0.00,0.00,1.00,1,2.00,1.50
103,1.00,1.00,1.00,0.00,1.00,0,4.00,5.50
104,1.00,1.00,1.00,1.00,1.00,0,5.00,4.00
105,1.00,0.00,1.00,1.00,1.00,0,4.00,5.50
106,1.00,1.00,0.00,0.00,1.00,0,3.00,3.50
107,1.00,0.00,0.00,1.00,1.00,0,3.00,2.00
108,0.00,1.00,0.00,0.00,1.00,1,3.00,5.00
109,1.00,1.00,1.00,1.00,1.00,0,5.00,2.50
110,0.00,1.00,1.00,1.00,1.00,1,5.00,2.50
111,1.00,1.00,0.00,1.00,1.00,0,4.00,6.50
112,0.00,1.00,0.00,0.00,1.00,1,3.00,2.00
113,1.00,0.00,0.00,0.00,1.00,1,3.00,6.00
114,1.00,0.00,1.00,0.00,1.00,1,4.00,3.00
115,0.00,0.00,1.00,0.00,1.00,1,3.00,3.00
116,1.00,1.00,1.00,1.00,1.00,1,6.00,7.00
117,1.00,0.00,0.00,0.00,1.00,1,3.00,1.00
118,1.00,0.00,1.00,1.00,1.00,0,4.00,1.00
119,0.00,0.00,0.00,1.00,1.00,1,3.00,1.00
120,1.00,1.00,1.00,1.00,1.00,0,5.00,5.00
121,1.00,1.00,1.00,1.00,1.00,0,5.00,4.00
122,1.00,1.00,1.00,1.00,1.00,0,5.00,7.00
123,1.00,1.00,1.00,1.00,1.00,1,6.00,1.00
124,1.00,0.00,1.00,1.00,1.00,1,5.00,6.00
125,1.00,0.00,0.00,1.00,1.00,1,4.00,5.00
126,1.00,0.00,0.00,0.00,1.00,0,2.00,3.50
127,0.00,1.00,1.00,1.00,1.00,1,5.00,5.50
128,1.00,1.00,0.00,1.00,1.00,0,4.00,2.00
129,1.00,0.00,1.00,1.00,1.00,0,4.00,3.00
130,1.00,0.00,0.00,0.00,1.00,1,3.00,1.00
131,1.00,0.00,1.00,1.00,1.00,1,5.00,6.00
132,1.00,1.00,1.00,1.00,1.00,1,6.00,1.00
133,0.00,1.00,0.00,1.00,0.00,0,2.00,4.50
134,1.00,1.00,1.00,0.00,0.00,1,4.00,5.00
135,0.00,0.00,0.00,1.00,0.00,1,2.00,4.00
136,0.00,0.00,0.00,0.00,0.00,0,0.00,4.00
137,1.00,1.00,0.00,1.00,0.00,1,4.00,4.50
138,0.00,0.00,0.00,1.00,0.00,0,1.00,1.50
139,1.00,1.00,0.00,0.00,0.00,0,2.00,1.00
140,0.00,0.00,1.00,0.00,0.00,1,2.00,2.50
141,0.00,1.00,1.00,0.00,0.00,1,3.00,7.00
142,1.00,0.00,0.00,0.00,0.00,1,2.00,5.00
143,0.00,0.00,0.00,0.00,0.00,1,1.00,2.00
144,0.00,0.00,1.00,0.00,0.00,1,2.00,1.50
145,0.00,1.00,1.00,1.00,0.00,1,4.00,7.00
146,1.00,0.00,1.00,0.00,0.00,0,2.00,1.00
147,0.00,1.00,1.00,1.00,0.00,1,4.00,6.00
148,0.00,0.00,1.00,0.00,0.00,0,1.00,2.00
149,1.00,1.00,1.00,1.00,0.00,1,5.00,5.50
150,1.00,1.00,0.00,0.00,0.00,1,3.00,2.00
151,0.00,0.00,0.00,1.00,0.00,1,2.00,5.00
152,0.00,0.00,0.00,1.00,0.00,1,2.00,5.00
153,0.00,1.00,0.00,0.00,0.00,1,2.00,1.00
154,0.00,1.00,1.00,1.00,0.00,0,3.00,3.00
155,0.00,1.00,1.00,0.00,0.00,0,2.00,2.50
156,0.00,0.00,0.00,1.00,0.00,1,2.00,2.00
157,1.00,1.00,0.00,1.00,0.00,1,4.00,5.00
158,0.00,1.00,0.00,1.00,0.00,0,2.00,6.00
159,0.00,0.00,1.00,0.00,0.00,1,2.00,1.00
160,1.00,0.00,1.00,0.00,0.00,0,2.00,1.00
161,0.00,1.00,1.00,0.00,1.00,0,3.00,5.00
162,1.00,1.00,1.00,1.00,1.00,1,6.00,7.00
163,0.00,0.00,0.00,1.00,1.00,0,2.00,5.00
164,1.00,0.00,1.00,1.00,1.00,0,4.00,5.50
165,1.00,1.00,1.00,1.00,1.00,1,6.00,5.00
166,1.00,0.00,1.00,0.00,1.00,1,4.00,3.50
167,0.00,0.00,1.00,1.00,1.00,0,3.00,2.50
168,1.00,1.00,1.00,1.00,1.00,1,6.00,6.00
169,1.00,1.00,1.00,1.00,1.00,0,5.00,4.50
170,1.00,1.00,1.00,0.00,1.00,1,5.00,2.50
171,0.00,1.00,0.00,0.00,1.00,0,2.00,5.00
172,1.00,0.00,0.00,1.00,1.00,1,4.00,2.00
173,1.00,1.00,0.00,1.00,1.00,1,5.00,5.50
174,0.00,0.00,1.00,1.00,1.00,1,4.00,4.00
175,1.00,1.00,1.00,1.00,1.00,1,6.00,5.00
176,0.00,1.00,1.00,0.00,1.00,1,4.00,5.50
177,1.00,1.00,1.00,1.00,1.00,1,6.00,4.00
178,1.00,0.00,1.00,0.00,1.00,0,3.00,5.00
179,1.00,1.00,1.00,0.00,1.00,1,5.00,3.50
180,1.00,1.00,1.00,1.00,1.00,0,5.00,6.00
181,1.00,1.00,1.00,1.00,1.00,1,6.00,6.00
182,0.00,1.00,1.00,1.00,1.00,0,4.00,1.00
183,1.00,1.00,1.00,1.00,1.00,0,5.00,5.00
184,1.00,1.00,1.00,0.00,1.00,0,4.00,6.00
185,1.00,1.00,1.00,1.00,1.00,1,6.00,4.50
186,1.00,1.00,1.00,1.00,1.00,0,5.00,5.50
187,1.00,1.00,1.00,0.00,1.00,0,4.00,2.50
188,1.00,1.00,1.00,0.00,1.00,0,4.00,5.00
189,1.00,0.00,0.00,0.00,1.00,0,2.00,5.50
190,1.00,1.00,0.00,0.00,1.00,1,4.00,3.50
191,1.00,0.00,0.00,1.00,1.00,0,3.00,5.50
192,1.00,0.00,0.00,0.00,1.00,1,3.00,3.50
193,1.00,0.00,1.00,0.00,1.00,0,3.00,1.00
